Longitude,Latitude,Value
82.99806,55.044136,63849
82.95801,54.953747,55670
83.007973,54.943436,45811
82.852344,55.153506,80731
82.958713,55.00583,67154
83.1062,54.754876,56954
82.922986,54.931535,54671
82.833363,54.989821,48970
82.87889,54.946588,53680
82.86051,54.971858,41025
83.073388,54.770677,50000
82.961509,55.042099,73203
83.121526,54.943406,62791
82.205535,55.004747,31373
83.017459,55.05175,31000
82.975322,54.990989,93726
82.805474,54.980448,62652
82.84325,54.9715,66348
83.107323,54.968981,55830
82.931915,55.014294,96923
82.969163,55.078023,57143
82.917006,54.987737,101266
82.916787,54.934312,53221
83.080934,54.767024,48525
82.896601,54.96524,66838
82.959506,55.041611,88404
83.016304,55.022143,65915
82.870411,54.974491,49329
82.871626,54.979604,60714
83.010612,55.022198,60323
82.984659,54.923858,60392
83.111998,54.838179,94026
82.752465,54.973668,75439
82.934492,55.061287,56667
82.91746,54.990693,126002
83.060705,54.74129,48915
82.847851,54.992387,64194
83.193017,54.937486,73893
82.94555,55.069125,70122
83.007465,54.988218,48280
82.978277,55.030338,93446
82.929872,55.042633,104647
82.911558,55.027525,94379
82.909853,55.057369,81795
82.976477,55.009286,48571
82.994306,55.034318,69894
82.988909,54.858816,46704
82.962874,54.941453,38018
82.824659,54.987806,34832
82.884165,54.9831,69286
82.951747,55.064202,72917
83.080886,54.765787,58658
82.906124,55.060945,94552
82.854436,54.975957,48333
83.070876,54.734496,60000
82.985109,55.15776,59633
82.949635,55.075402,62743
82.923552,55.071835,69328
82.909179,54.964733,42623
82.900792,54.984696,87097
82.974228,54.958603,47655
82.901564,54.98582,66542
82.920848,55.170325,94091
82.809228,55.030126,56736
82.190784,55.005472,33380
82.864823,54.96485,60588
83.01993,55.0058,58496
83.327883,54.571274,38462
82.988933,54.857834,54871
82.892292,54.97373,69614
82.898418,54.993109,74194
83.078895,54.869129,60453
82.98096,55.072745,48622
83.123533,55.059673,49443
82.970957,55.097814,61735
82.905342,54.984401,73667
82.895635,54.988341,69934
82.860554,54.984768,79242
82.863107,55.025428,55962
82.956373,54.966182,57850
82.958926,54.959055,53807
82.874603,54.989609,66359
82.980333,55.161716,55535
82.697242,54.988835,50000
82.956268,55.154631,52099
83.011011,55.041611,50000
84.4169,55.221492,25000
83.057172,54.746935,58168
82.999426,55.04229,59637
82.916721,54.987068,105357
82.971862,54.956285,62834
82.92528,54.931742,46512
82.967997,55.081586,81513
83.058765,54.981159,69780
83.08978,54.974285,69200
82.952653,55.109245,60272
82.866332,54.992948,67696
82.910688,54.938524,55439
82.970617,55.056702,70511
82.970339,55.112417,56250
83.616747,55.306569,31174
82.8721,54.970391,69871
82.898932,55.05591,60889
82.868435,54.98362,54781
82.99388,55.050904,69132
83.099964,54.870493,72727
83.290301,54.621502,31250
82.957667,55.078089,60000
82.982979,54.923305,50051
82.894149,54.96526,57507
82.970478,54.929826,66528
82.96843,54.997504,67164
82.978191,54.926624,66621
82.995422,55.168512,43392
82.883943,54.990602,66637
82.972221,55.101554,70786
82.898938,55.12644,75684
82.770952,55.067097,69144
82.931949,55.058298,70695
82.879779,54.946185,46711
82.917095,55.052858,101613
82.811706,54.989604,61919
82.90727,55.221143,39651
82.983373,54.974552,36685
82.922468,54.936525,57413
82.819896,54.984629,61707
82.792996,54.898252,37838
82.95291,55.009952,63580
82.972608,55.051601,76563
82.964525,55.068545,71250
82.772619,55.069769,35000
82.917461,55.043134,118258
83.008944,55.040406,64516
82.888328,55.078221,64130
82.955112,55.077369,53797
83.020094,55.029043,80346
82.964747,55.042513,101852
83.059201,54.740055,52357
82.963593,55.081118,57477
82.809608,54.979746,59500
82.903002,54.939682,56414
82.424684,54.714289,22321
82.884426,54.981156,65556
82.756994,55.072523,55000
82.975634,55.074543,64820
83.056705,54.735227,50000
82.998914,55.053538,43022
83.048949,54.979526,75300
82.900527,55.078682,48378
82.707861,54.991828,49654
82.890885,55.035529,74905
82.902413,55.060809,93541
82.889935,54.987819,72284
82.980348,55.024224,66026
82.892383,55.080568,29412
83.0817,54.868183,81818
82.867694,54.991347,65489
82.902478,55.04518,77508
83.14492,54.941886,66398
83.093631,54.762657,49515
82.937342,55.109724,72435
83.07175,54.769182,47813
83.09227,54.804336,22000
83.278832,54.983593,50000
83.336123,54.504943,39792
83.001923,55.047605,49491
83.081429,54.870435,55833
82.971598,54.852998,40000
82.932969,55.047006,69309
82.986986,55.046906,71214
82.969811,55.136516,40805
83.199008,54.936429,74020
82.951326,55.108711,57930
82.918135,55.046166,71012
82.812222,55.067457,88620
82.969409,55.002393,42857
83.074316,54.73585,46370
82.973811,55.035342,66039
82.691021,54.996071,46922
82.910686,55.122863,33929
82.978565,55.003634,73214
83.007994,55.038149,66629
82.88789,55.07564,50304
83.267385,54.663164,37471
82.910946,55.039661,104444
83.110668,54.86549,78571
83.095482,54.867841,67140
82.964926,55.029236,85110
82.911895,54.963677,43554
83.374075,54.452124,36842
82.922176,55.070871,51044
83.146078,54.180568,7708
82.86771,55.048598,75434
83.37728,54.453074,34921
82.881574,54.977129,62967
82.938386,55.075435,80643
82.45431,55.006038,30488
82.971508,55.102238,54138
82.864031,54.972801,31928
82.911531,55.025396,80899
82.792706,54.983128,55534
83.123065,54.956553,27500
83.081804,54.871595,116785
82.900566,55.032618,82292
82.683807,54.982118,45143
82.896588,54.94072,47704
82.961953,55.083967,74144
82.914618,54.965688,52381
82.89458,54.990267,68326
83.32593,54.57731,30208
83.057079,55.082933,129870
